ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,3V3 Rail,3V3,DIP-2X4P-2.54,1,220S-2*4P H=8.5MM Ytype Gold-plated,Ckmtw,LCSC,C124422,0.172
2,5V Rail,5V,DIP-2X4P-2.54,1,220S-2*4P H=8.5MM Ytype Gold-plated,Ckmtw,LCSC,C124422,0.172
3,+5V,5V-ESC,HDR-5X1/2.54,1,2.54mm 1*5p Female header,BOOMELE,LCSC,C50950,0.06
4,2,BME280,DIP-1X4P2.54,1,220S-1*4P H=8.5MM Ytype Gold-plated,Ckmtw,LCSC,C124413,0.106
5,1u,C1,1206,1,,,,,
6,4.7u,C2,1206,1,,,,,
7,10n,C3,1206,1,,,,,
8,0.1u,C4,1206,1,,,,,
9,ESC & GND,ESC,DIP-2X5P-2.54,1,220S-2*5P H=8.5MM Ytype Gold-plated,Ckmtw,LCSC,C124423,0.185
10,GPIO Connector,GPIO,DIP-2X4P-2.54,1,220S-2*4P H=8.5MM Ytype Gold-plated,Ckmtw,LCSC,C124422,0.172
11,MPU6500,GYRO,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,InvenSense,LCSC,C50278,3.738
12,HMC5883L-TR,MAGNO,LPCC-16_L3.0-W3.0-P0.50-BL,1,HMC5883L-TR,Honeywell,LCSC,C15640,1.311
13,Header-Female-2.54_2x20,P1,HDR-TH_40PIN-V-ROW2-COL20-FEMALE-PITCH2.54,1,2.54mm 2*20PFemale header,BOOMELE,LCSC,C50982,
14,2.2K,"R1,R2",1206,2,,,,,
15,SoftSer0,SER0,HDR-TH_2P-P2.54-V-M,1,2.54-1*2PFemale,BOOMELE,LCSC,C49661,0.036
16,SoftSer1,SER1,HDR-TH_2P-P2.54-V-M,1,2.54-1*2PFemale,BOOMELE,LCSC,C49661,0.036
17,SPI Connector,SPI,DIP-2X4P-2.54,1,220S-2*4P H=8.5MM Ytype Gold-plated,Ckmtw,LCSC,C124422,0.172
18,HardSer0,UART,HDR-TH_2P-P2.54-V-M,1,2.54-1*2PFemale,BOOMELE,LCSC,C49661,0.036
